driver,driver_label,lag_months,correlation
brent,Brent,0,0.005502781739546707
brent,Brent,1,0.02649497176177646
brent,Brent,2,0.054770531110539145
brent,Brent,3,0.03639857185484791
brent,Brent,4,-0.09454538313276939
brent,Brent,5,0.09841263791169357
brent,Brent,6,0.031831542736411804
gas,TTF gas,0,-0.14354055864937532
gas,TTF gas,1,0.05724097066678214
gas,TTF gas,2,0.15897176726578663
gas,TTF gas,3,0.05887923905196437
gas,TTF gas,4,0.08374876151667147
gas,TTF gas,5,0.13177078149480237
gas,TTF gas,6,-0.011207111110832583
ppi,Chemicals PPI,0,0.044294406588391726
ppi,Chemicals PPI,1,0.15090415495033543
ppi,Chemicals PPI,2,-0.10220541428529745
ppi,Chemicals PPI,3,0.0340286525334333
ppi,Chemicals PPI,4,-0.15573301106216383
ppi,Chemicals PPI,5,0.061585056983849404
ppi,Chemicals PPI,6,-0.03244622733204476
